,words,word_fixed,freq
111,into,into,6.11
112,woman,woman,5.35
113,revolver,revolver,3.41
114,man,man,5.82
115,grenade.,grenade,3.65
116,watched,watched,4.72
117,made,made,5.92
118,call.,call,5.51
119,decorating,decorating,3.36
120,him,him,6.11
121,large,large,5.39
122,decided,decided,5.09
123,paint,paint,4.52
124,door.,door,5.08
125,door,door,5.08
126,crack,crack,4.41
127,wouldn't,wouldnt,3.49
128,close.,close,5.36
129,brush,brush,4.23
130,do,do,6.35
131,later.,later,5.49
132,convict,convict,3.56
133,escaped,escaped,4.18
134,from,from,6.63
135,cell,cell,4.87
136,clutching,clutching,3.17
137,knife.,knife,4.41
138,He,he,6.69
139,prepared,prepared,4.74
140,attack,attack,5.09
141,warden,warden,3.63
142,if,if,6.47
143,necessary.,necessary,4.91
144,Once,once,5.53
145,outside,outside,5.25
146,saw,saw,5.34
147,bunch,bunch,4.57
148,keys,keys,4.39
149,long,long,5.81
150,truncheon.,truncheon,2.1
151,suddenly,suddenly,4.69
152,lunged,lunged,2.59
153,before,before,5.93
154,running,running,5.23
155,off.,off,5.93
156,mechanic,mechanic,3.79
157,walked,walked,4.67
158,up,up,6.39
159,car,car,5.45
160,wrench.,wrench,3.37
161,thought,thought,5.59
162,he’d,hed,2.65
163,change,change,5.54
164,tyre.,tyre,3.51
165,examining,examining,3.87
166,found,found,5.68
167,tyre,tyre,3.51
168,faulty,faulty,3.62
169,valve,valve,4.13
170,small,small,5.51
171,hole,hole,4.66
172,changed,changed,5.07
173,wrench,wrench,3.37
174,but,but,6.63
175,took,took,5.51
176,time.,time,6.29
177,cleaner,cleaner,3.9
178,climbing,climbing,4.12
179,ladder,ladder,4.03
180,cloth.,cloth,4.03
181,wipe,wipe,4.01
182,window.,window,4.8
183,lot,lot,5.61
184,dirt,dirt,4.24
185,relatively,relatively,4.66
186,clean.,clean,4.97
187,wiped,wiped,3.86
188,cloth,cloth,4.03
189,while,while,5.86
190,singing,singing,4.59
191,himself.,himself,5.25
192,burglar,burglar,3.34
193,trying,trying,5.47
194,break,break,5.18
195,house,house,5.71
196,credit,credit,5.0
197,card,card,5.04
198,hand.,hand,5.41
199,wanted,wanted,5.36
200,open,open,5.48
201,lock,lock,4.51
202,cracked,cracked,3.99
203,frame.,frame,4.58
204,opened,opened,4.85
205,quickly,quickly,5.0
206,slipped,slipped,3.99
207,inside.,inside,5.19
208,through,through,5.87
209,clothes,clothes,4.72
210,darning,darning,1.94
211,wool.,wool,3.91
212,needed,needed,5.18
213,repair,repair,4.41
214,sock.,sock,3.61
215,pile,pile,4.14
216,sock,sock,3.61
217,getting,getting,5.57
218,bit,bit,5.37
219,thin.,thin,4.47
220,repaired,repaired,3.77
221,hurt,hurt,4.94
222,finger,finger,4.48
223,process.,process,5.26
224,broke,broke,4.85
225,bank,bank,5.16
226,dynamite.,dynamite,3.59
227,planned,planned,4.69
228,blow,blow,4.59
229,safe.,safe,5.07
230,inside,inside,5.19
231,safe,safe,5.07
232,new,new,6.25
233,old,old,5.75
234,lock.,lock,4.51
235,blew,blew,4.12
236,off,off,5.93
237,loot.,loot,3.49
238,chemist,chemist,3.51
239,adjusting,adjusting,3.71
240,bunsen,bunsen,2.43
241,burner.,burner,3.54
242,about,about,6.4
243,heat,heat,4.86
244,solution.,solution,4.84
245,bench,bench,4.39
246,solution,solution,4.84
247,blue,blue,5.13
248,crystals,crystals,3.78
249,containing,containing,4.43
250,red,red,5.32
251,dye.,dye,3.82
252,heated,heated,4.09
253,burner,burner,3.54
254,gas,gas,5.01
255,out.,out,6.38
256,vet,vet,3.9
257,animal,animal,4.81
258,cage,cage,4.13
259,dart,dart,3.52
260,gun.,gun,4.96
261,tranquilise,tranquilise,0.0
262,lion.,lion,4.25
263,Inside,inside,5.19
264,lion,lion,4.25
265,big,big,5.67
266,mane,mane,3.33
267,didn't,didnt,4.18
268,any,any,6.07
269,all.,all,6.52
270,tranquilised,tranquilised,0.0
271,examined,examined,4.1
272,secretary,secretary,4.95
273,manual,manual,4.32
274,told,told,5.54
275,type,type,5.27
276,report.,report,5.32
277,handed,handed,4.42
278,report,report,5.32
279,covered,covered,4.83
280,diagrams,diagrams,3.42
281,letter,letter,4.95
282,written,written,5.09
283,different,different,5.59
284,colours.,colours,4.15
285,typed,typed,3.52
286,typewriter,typewriter,3.26
287,walking,walking,4.86
288,street,street,5.28
289,planning,planning,4.9
290,policeman.,policeman,3.74
291,eventually,eventually,4.88
292,policeman,policeman,3.74
293,who,who,6.34
294,scar,scar,3.77
295,face,face,5.45
296,policewoman,policewoman,2.54
297,wearing,wearing,4.85
298,spectacles.,spectacles,3.11
299,skinhead,skinhead,2.68
300,attacked,attacked,4.52
301,ran,ran,4.87
302,doctor,doctor,4.9
303,waiting,waiting,5.06
304,stethoscope.,stethoscope,2.66
305,arranged,arranged,4.31
306,examine,examine,4.18
307,patient.,patient,4.77
308,temperature,temperature,4.64
309,stomach,stomach,4.42
310,pains.,pains,3.84
311,stethoscope,stethoscope,2.66
312,couldn't,couldnt,3.43
313,help,help,5.75
314,her.,her,6.3
315,schoolteacher,schoolteacher,2.98
316,class,class,5.36
317,bamboo,bamboo,3.65
318,cane.,cane,3.76
319,sadistically,sadistically,1.86
320,hoped,hoped,4.28
321,beat,beat,5.01
322,boy.,boy,5.17
323,entering,entering,4.42
324,boy,boy,5.17
325,broken,broken,4.88
326,leg,leg,4.66
327,girl,girl,5.38
328,wore,wore,4.29
329,glasses,glasses,4.34
330,stand,stand,5.14
331,him.,him,6.11
332,cry,cry,4.59
333,workman,workman,2.96
334,climbed,climbed,3.85
335,manhole,manhole,2.75
336,saw.,saw,5.34
337,expected,expected,4.96
338,valve.,valve,4.13
339,Down,down,5.88
340,rust,rust,3.74
341,section,section,5.0
342,pipe,pipe,4.25
343,leaking,leaking,3.7
344,gas.,gas,5.01
345,fitting,fitting,4.1
346,one.,one,6.47
347,magnifying,magnifying,3.0
348,glass,glass,4.85
349,gardener,gardener,3.49
350,garden,garden,4.77
351,chainsaw.,chainsaw,3.2
352,tree.,tree,4.85
353,standing,standing,4.86
354,by,by,6.66
355,tree,tree,4.85
356,greenfly,greenfly,1.28
357,dead,dead,5.19
358,very,very,6.0
359,sad,sad,4.84
360,fuel,fuel,4.72
361,line,line,5.49
362,demolition,demolition,3.62
363,way,way,6.01
364,work,work,5.96
365,bulldozer.,bulldozer,2.88
366,go,go,6.03
367,particular,particular,5.0
368,address,address,4.91
369,demolish,demolish,3.18
370,house.,house,5.71
371,ornate,ornate,3.19
372,fountain,fountain,3.91
373,its,its,6.14
374,church,church,5.16
375,fine,fine,5.23
376,carvings.,carvings,3.0
377,demolished,demolished,3.52
378,wasn't,wasnt,3.69
379,right,right,5.96
380,knife,knife,4.41
381,typewriter.,typewriter,3.26
382,borrowed,borrowed,3.91
383,kitchen,kitchen,4.65
384,bread,bread,4.5
385,orange,orange,4.62
386,pieces.,pieces,4.72
387,fruit,fruit,4.57
388,bowl,bowl,4.63
389,thick,thick,4.46
390,rind,rind,2.76
391,tangerine,tangerine,2.94
392,thin,thin,4.47
393,rind.,rind,2.76
394,little,little,5.75
395,tried,tried,5.16
396,no,no,6.35
397,success.,success,5.06
398,tribesman,tribesman,2.11
399,forest,forest,4.7
400,spear.,spear,3.7
401,intended,intended,4.7
402,kill,kill,5.09
403,arriving,arriving,4.16
404,clearing,clearing,4.04
405,sharp,sharp,4.48
406,teeth,teeth,4.58
407,strange,strange,4.64
408,coloured,coloured,3.92
409,paws.,paws,3.43
410,killed,killed,5.22
411,spear,spear,3.7
412,carried,carried,4.77
413,back,back,6.04
414,home.,home,5.81
415,playing,playing,5.37
416,kicking,kicking,4.16
417,ball,ball,5.04
418,about.,about,6.4
419,warned,warned,4.18
420,probably,probably,5.37
421,Close,close,5.36
422,looked,looked,5.11
423,old.,old,5.75
424,did,did,5.96
425,accidentally,accidentally,4.22
426,home,home,5.81
427,crying.,crying,4.56
428,binoculars,binoculars,3.1
429,phone,phone,5.3
430,fireman,fireman,3.2
431,scene,scene,4.97
432,fire,fire,5.3
433,heavy,heavy,4.96
434,axe.,axe,3.79
435,smash,smash,4.09
436,When,when,6.37
437,got,got,5.91
438,rusty,rusty,3.61
439,nailed,nailed,3.77
440,shut.,shut,4.78
441,smashed,smashed,3.84
442,axe,axe,3.79
443,smoke,smoke,4.67
444,overcame,overcame,3.26
445,apple,apple,4.76
446,An,an,6.53
447,artist,artist,4.8
448,table,table,5.05
449,sudden,sudden,4.4
450,premonition,premonition,2.65
451,going,going,5.94
452,knock,knock,4.35
453,over,over,6.08
454,bottle.,bottle,4.57
455,bottle,bottle,4.57
456,jug,jug,3.3
457,filled,filled,4.7
458,water.,water,5.52
459,accidently,accidently,2.86
460,knocked,knocked,4.24
461,swore,swore,3.53
462,loudly.,loudly,3.79
463,caretaker,caretaker,3.45
464,nails.,nails,4.04
465,locker,locker,3.95
466,shut,shut,4.78
467,properly.,properly,4.64
468,nails,nails,4.04
469,tea,tea,4.73
470,break.,break,5.18
471,chef,chef,4.23
472,food,food,5.4
473,mixer.,mixer,3.5
474,preparing,preparing,4.33
475,make,make,6.08
476,cake.,cake,4.53
477,Somebody,somebody,4.8
478,came,came,5.5
479,bake,bake,3.91
480,cake,cake,4.53
481,dried,dried,4.04
482,pie,pie,4.19
483,topped,topped,3.92
484,jam.,jam,4.17
485,started,started,5.39
486,out,out,6.38
487,eggs.,eggs,4.5
488,puma,puma,3.22
489,dark,dark,5.04
490,iron,iron,4.74
491,crowbar.,crowbar,2.72
492,shop.,shop,4.88
493,noticed,noticed,4.63
494,shop,shop,4.88
495,fitted,fitted,4.13
496,alarm.,alarm,4.28
497,nobody,nobody,4.95
498,furniture,furniture,4.29
499,restorer,restorer,2.46
500,stripper.,stripper,3.45
501,strip,strip,4.36
502,cabinet.,cabinet,4.49
503,workshop,workshop,4.15
504,cabinet,cabinet,4.49
505,brass,brass,4.05
506,hinges,hinges,3.34
507,aluminium,aluminium,3.73
508,hinges.,hinges,3.34
509,stripped,stripped,3.84
510,waxed,waxed,3.08
511,John,john,5.38
512,bought,bought,4.91
513,diamond,diamond,4.42
514,stylus,stylus,3.02
515,stereo.,stereo,3.77
516,play,play,5.61
517,record.,record,5.21
518,record,record,5.21
519,noisy,noisy,3.67
520,crackle,crackle,2.78
521,hiss.,hiss,3.05
522,sounded,sounded,4.12
523,terrible.,terrible,4.71
524,statue,statue,4.09
525,skylight,skylight,2.84
526,morning.,morning,5.33
527,cassette,cassette,3.4
528,dynamite,dynamite,3.59
529,stripper,stripper,3.45
530,jumper,jumper,3.7
531,wool,wool,3.91
532,gun,gun,4.96
533,cane,cane,3.76
534,strongbox,strongbox,1.8
535,post,post,5.43
536,office,office,5.4
537,chest,chest,4.52
538,drunk,drunk,4.61
539,wielding,wielding,3.32
540,empty,empty,4.59
541,felt,felt,5.13
542,like,like,6.41
543,smashing,smashing,3.66
544,front,front,5.28
545,stained,stained,3.79
546,bars,bars,4.45
547,covering,covering,4.45
548,staggered,staggered,3.21
549,laughing.,laughing,4.61
550,tiger,tiger,4.3
551,mixer,mixer,3.5
552,tall,tall,4.52
553,shrub,shrub,3.19
554,chainsaw,chainsaw,3.2
555,lounge,lounge,3.92
556,powder,powder,4.25
557,crowbar,crowbar,2.72
558,bulldozer,bulldozer,2.88
