,words,word_fixed,freq
0,cleaning,cleaning,4.39
1,on,on,6.91
2,her,her,6.3
3,morning,morning,5.33
4,rounds,rounds,4.3
5,carrying,carrying,4.61
6,a,a,7.36
7,brush.,brush,4.23
8,She,she,6.26
9,would,would,6.27
10,have,have,6.71
11,to,to,7.43
12,clean,clean,4.97
13,that,that,7.01
14,In,in,7.27
15,the,the,7.73
16,building,building,5.29
17,there,there,6.31
18,was,was,6.82
19,which,which,6.3
20,had,had,6.33
21,lots,lots,4.88
22,of,of,7.4
23,plants,plants,4.71
24,along,along,5.38
25,it,it,6.95
26,and,and,7.41
27,pictures,pictures,4.92
28,walls.,walls,4.62
29,The,the,7.73
30,lady,lady,4.95
31,cleaned,cleaned,4.02
32,corridor,corridor,3.88
33,with,with,6.85
34,then,then,6.07
35,lit,lit,4.19
36,cigarette.,cigarette,4.06
37,historian,historian,3.9
38,working,working,5.45
39,in,in,7.27
40,British,british,5.18
41,Museum,museum,4.71
42,holding,holding,4.89
43,glass.,glass,4.85
44,He’d,hed,2.65
45,sat,sat,4.64
46,down,down,5.88
47,study,study,5.26
48,map.,map,4.76
49,On,on,6.91
50,his,his,6.51
51,desk,desk,4.43
52,map,map,4.76
53,an,an,6.53
54,appalling,appalling,3.46
55,tear,tear,4.35
56,manuscript,manuscript,3.92
57,seemed,seemed,4.82
58,perfect,perfect,5.2
59,condition.,condition,4.86
60,so,so,6.52
61,as,as,6.77
62,value,value,5.15
63,it.,it,6.95
64,dressmaker,dressmaker,2.46
65,dress,dress,4.76
66,using,using,5.47
67,pair,pair,4.72
68,scissors.,scissors,3.58
69,cut,cut,5.24
70,some,some,6.2
71,material,material,4.95
72,for,for,7.01
73,pockets.,pockets,4.08
74,piece,piece,5.04
75,pattern,pattern,4.56
76,leather,leather,4.35
77,plain.,plain,4.43
78,scissors,scissors,3.58
79,went,went,5.5
80,lunch.,lunch,4.66
81,A,a,7.36
82,monkey,monkey,4.07
83,been,been,6.27
84,trained,trained,4.58
85,eat,eat,5.13
86,fork.,fork,4.03
87,It,it,6.95
88,supposed,supposed,4.91
89,banana.,banana,4.0
90,given,given,5.41
91,banana,banana,4.0
92,bruise,bruise,3.18
93,perfect.,perfect,5.2
94,ate,ate,4.34
95,fork,fork,4.03
96,much,much,6.0
97,everyone’s,everyones,2.9
98,surprise.,surprise,4.75
99,detective,detective,4.21
100,sitting,sitting,4.86
101,at,at,6.7
102,window,window,4.8
103,set,set,5.59
104,binoculars.,binoculars,3.1
105,asked,asked,5.3
106,watch,watch,5.34
107,woman.,woman,5.35
108,room,room,5.39
109,he,he,6.69
110,looking,looking,5.57
